"from_requirement_threshold","major.requirement","ISS.against.recommendation","shares.oustanding.base","special.meeting","analyst.coverage","institutional.ownership","past.stock.return","q","firm.size"
0.478868136,1,0,0,0,0.693147181,0.563434915,0.506236315,5.682471779,5.372701015
0.383805302,1,0,1,0,0.693147181,0.563434915,0.506236315,5.682471779,5.372701015
0.097927583,1,1,0,0,1.386294361,1,0.379919734,1.176279748,6.596094672
0.456770963,1,0,0,0,1.791759469,1,0.38766006,1.464995367,6.886346743
0.408909135,1,0,0,0,1.945910149,0.968381186,-0.149498657,1.106883298,7.313914813
0.462484285,1,0,0,0,2.197224577,0.935015076,-0.101781994,1.150810001,7.440573483
0.319913539,1,0,0,0,2.079441542,0.869051993,0.691631506,0.91438802,7.66711146
0.077451731,1,1,1,0,1.386294361,0.601628293,-0.102666316,1.008732138,7.997046932
0.470431361,1,0,0,0,1.791759469,0.652709715,0.533525645,1.065742327,8.207306136
0.482647008,1,0,0,0,0,0.056230575,0.012271048,0.984832334,6.912566686
0.483438876,1,0,0,0,0,0.056230575,0.012271048,0.984832334,6.912566686
0.483917646,1,0,0,0,0,0.056230575,0.012271048,0.984832334,6.912566686
0.481754204,1,0,0,0,0,0.056230575,0.012271048,0.984832334,6.912566686
0.480077451,1,0,0,0,0,0.060418273,0.202239198,0.995475883,6.956540681
0.473270821,1,0,0,0,0,0.060418273,0.202239198,0.995475883,6.956540681
0.475096482,1,0,0,0,0,0.060418273,0.202239198,0.995475883,6.956540681
0.475480965,1,0,0,0,0,0.060418273,0.202239198,0.995475883,6.956540681
0.477444775,1,0,0,0,0,0.080153898,0.239974234,1.001334032,6.952773577
0.4787386,1,0,0,0,0,0.080153898,0.239974234,1.001334032,6.952773577
0.478785895,1,0,0,0,0,0.080153898,0.239974234,1.001334032,6.952773577
0.477168071,1,0,0,0,0,0.080153898,0.239974234,1.001334032,6.952773577
0.46248526,1,0,0,0,0,0.092311503,0.108223916,1.019109788,6.993756813
0.461189617,1,0,0,0,0,0.092311503,0.108223916,1.019109788,6.993756813
0.456216258,1,0,0,0,0,0.092311503,0.108223916,1.019109788,6.993756813
